company_name,client_name,email,mobile,source,remark,designation,address,category,state,city,pincode,website
ParkNSecure India Pvt. Ltd.,,,1242659065,Toll Management System companies in India,,,"1005, 10th floor JMD Megapolis, Sohna - Gurgaon Rd, Sector 48, Gurugram, Haryana 122018",Software company,Haryana,Gurgaon,122018,http://parknsecure.com/
Sam Digital Media | Website Designing & Development Company | Software Development Company | Mobile App | TMS & ATMS Software,,,9891848423,Toll Management System companies in India,,,"A - 66, 3rd Floor, Sector 7 Dwarka, Dwarka, New Delhi, Delhi 110075",Website designer in Delhi,,,110075,https://www.samdigitalmedia.com/
Tecsidel India Pvt Ltd,,,,Toll Management System companies in India,,,"B-18, Institutional Area, Sector 32, Gurugram, Haryana 122003",Corporate office,,,122003,http://www.tecsidel.com/
GreenTech ITS LLP,,,1126449201,Toll Management System companies in India,,,"PIBCO Complex, Gate 3, Punj Sons Premise Kalkaji Industrial Area Near Govind Puri Metro Station Parking, New Delhi, Delhi 110019",Corporate office,,,110019,https://www.greentechits.com/
Clique Infra Solutions,,,9099933954,Toll Management System companies in India,,,"Near, UGF 10, SNG Plaza Metro Station, Knowledge Park II, Greater Noida, Uttar Pradesh 201310",Corporate office,,,201310,http://cliqueinfra.com/
Rudra Techno Care,,,8800255595,Toll Management System companies in India,,,"G-303, SG Business Hub, Near Gota Flyover, Sarkhej - Gandhinagar Hwy, Ahmedabad, Gujarat 380060",Software company,Gujarat,Ahmedabad,380060,http://rudratechnocare.com/
Wheelseye Technology India Private Limited,,,9370093700,Toll Management System companies in India,,,"Unit No. 203, 2nd and 3rd Floor, SAS Tower-A, near Medanta Medicity Hospital, Medicity, Islampur Colony, Sector 38, Gurugram, Haryana 122003",Logistics service,Haryana,Gurgaon,122003,https://wheelseye.com/
Technovaa Software & Hardware Solution Pvt. Ltd.,,,9966410102,Toll Management System companies in India,,,"TECHNOVAA SOFTWARE AND HARDWARE SOLUTION PVT. LTD Near New Rani Bagh Gate, Khandwa Rd, Indore, Madhya Pradesh 452001",Software company,Madhya Pradesh,Indore,452001,
Indian Highways Management Company Limited,,,1128042710,Toll Management System companies in India,,,"Second Floor, MTNL Building, Sector 19, Dwarka, Delhi, 110075",Federal government office in Delhi,,,110075,http://www.ihmcl.co.in/
Infotek Software & Systems Private Limited (i-TEK),,,2067184000,Toll Management System companies in India,,,"Iris, E Wing, Survey No. 22/4/1, 101, Balewadi, Pune, Maharashtra 411045",Software company,Maharashtra,Pune,411045,http://www.infoteksoftware.com/
Excellon Software,,,2066283600,Toll Management System companies in India,,,"Nanasaheb Gaikwad Information Technology Park, 402, 4th Floor, Sarjaa Rd, Sahil Park, Sanewadi, Pune, Maharashtra 411007",Software company,Maharashtra,Pune,411007,https://www.excellonsoft.com/
SKM Toll Ways Services,,,5624100052,Toll Management System companies in India,,,"16A, Avas Vikas Colony, Sikandra, Agra, Uttar Pradesh 282007",,,,282007,http://www.skmtollways.com/contact/
Indian Highways Management Company Limited,,,1128042710,Toll Management System companies in India,,,"Second Floor, MTNL Building, Sector 19, Dwarka, New Delhi, Delhi 110075",Highway patrol in Delhi,,,110075,http://ihmcl.org/
TimeWatch Infocom Pvt. Ltd.,,,9599337639,Toll Management System companies in India,,,"2nd Floor, B-168/169, DDA Shed, Pocket B, Okhla Phase I, Okhla Industrial Estate, New Delhi, Delhi 110020",Security system supplier in New Delhi,,,110020,http://timewatchindia.com/
FIGmd (India) Pvt. Ltd,,,2067525700,Toll Management System companies in India,,,"Symphony IT park (Tower B1, 5th and 6th Floor, Sinhgad Rd, Fule Market, Nanded Fata, Pandurang Industrial Area, Nanded City, Pune, Maharashtra 411068",Software company,Maharashtra,Pune,411068,http://www.figmd.com/
Vashi Toll Naka Office,,,,Toll Management System companies in India,,,"3X7H+MRF, Navi Mumbai, Maharashtra",Toll booth in Navi Mumbai,,,,
Seqrite,,,2066813232,Toll Management System companies in India,,,"Marvel Edge, Office No.7010 C & D, 7th Floor, Viman Nagar, Pune, Maharashtra 411014",Software company,Maharashtra,Pune,411014,https://www.seqrite.com/
eScan,,,2267722911,Toll Management System companies in India,,,"Plot No 80, Rd Number 15, Marol MIDC Industry Estate, Andheri East, Mumbai, Maharashtra 400093",Software company,Maharashtra,Mumbai,400093,https://www.escanav.com/
Jai Singh & Company (JSC),,,1263252507,Toll Management System companies in India,,,"Park Road, Gohana, Haryana 131301",Toll road rest stop,Haryana,Gohana,131301,http://jscorps.com/
Iconwave Technologies Private Limited,,,4040419999,Toll Management System companies in India,,,"170/67/171, 2nd floor, Balaji Empire, Patrika Nagar, Behind Cyber Towers, Hi Tech City,, Hyderabad, Telangana 500081",Software company,Telangana,Hyderabad,500081,https://www.iconwavetech.com/
XL Dynamics India Private Limited,,,2227782818,Toll Management System companies in India,,,"Block No. 301/302 Building V, Millenium Business Park, Sector 2, Mahape, Navi Mumbai, Maharashtra 400710",Corporate office,,,400710,
Excellon Software Private Limited,,,7126699600,Toll Management System companies in India,,,"Plot No. 14 / IV, Third Floor, I.T. Park, S Ambazari Rd, Subhash Nagar, Nagpur, Maharashtra 440022",Software company,Maharashtra,Nagpur,440022,https://www.excellonsoft.com/
Numadic,,,7776005544,Toll Management System companies in India,,,"1st Floor, Greyscale HQ Dona Paula, Goa 403001",Software company,Goa,Panaji,403001,http://numadic.com/
Techsture Technologies,,,9033067219,Toll Management System companies in India,,,"601 House, Sarkhej - Gandhinagar Hwy, opp. Gurudwara, Bodakdev, Ahmedabad, Gujarat 380054",Software company,Gujarat,Ahmedabad,380054,http://www.techsture.com/
Microsoft,,,,Toll Management System companies in India,,,"Microsoft Signature Building, Intermediate Ring Rd, Embassy Golf Links Business Park, Domlur, Bengaluru, Karnataka 560071",Software company,Karnataka,Bengaluru,560071,https://www.microsoft.com/en-in/gtsc/default.aspx
NSEIT Ltd,,,2228277600,Toll Management System companies in India,,,"Trade Globe, Andheri - Kurla Rd, Bhim Nagar, Andheri East, Mumbai, Maharashtra 400059",Software company,Maharashtra,Mumbai,400059,http://www.nseit.com/
Ramky Selenium,,,,Toll Management System companies in India,,,"Plot. No 31 & 32, Financial District, Nanakram Guda, Gachibowli, Telangana 500032",Corporate campus in Telangana,,,500032,
EPAM Bangalore,,,,Toll Management System companies in India,,,"Smartworks, Global Technology Park, Block C, Bengaluru, Karnataka 560103",Software company,Karnataka,Bengaluru,560103,https://welcome.epam.in/
Happiest Minds Technologies Limited,,,2066668100,Toll Management System companies in India,,,"MCCIA Trade Tower, Senapati Bapat Rd, Pune, Maharashtra 411016",Software company,Maharashtra,Pune,411016,https://www.happiestminds.com/
Falcon Info Solutions,,,,Toll Management System companies in India,,,"23, 33, Thiruvalluvar St, Kuilkuppam, Meenambakkam, Chennai, Tamil Nadu 600027",,,,600027,
FocusLyte,,,4040423535,Toll Management System companies in India,,,"6-3-659, Kapadia Ln, Punjagutta, Hyderabad, Telangana 500082",Software company,Telangana,Hyderabad,500082,https://www.focuslyte.in/contact-us
Infosys Limited Pune,,,2022932800,Toll Management System companies in India,,,"Plot No. 1, Hinjawadi Phase II, Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi, Pune, Maharashtra 411057",Software company,Maharashtra,Pimpri-Chinchwad,411057,https://www.infosys.com/
VaaaN Infra Pvt Ltd,,,1292515050,Toll Management System companies in India,,,"Villa 8, Block 2, Park Avenue, Charmwood Village, Sector 39, Eros Garden, Surajkund Road, Faridabad, Haryana 121009",Corporate office,,,121009,http://www.vaaaninfra.com/
Capgemini India,,,2066991000,Toll Management System companies in India,,,"Rajiv Gandhi Infotech Park, Plot No.14, Phase III MIDC SEZ, Village Man Taluka Mulshi, Haveli, Pune, Maharashtra 411057",Software company in Maharashtra,,,411057,https://www.capgemini.com/
Capgemini Knowledge Park,,,2271444283,Toll Management System companies in India,,,"M6, Capgemini Knowledge Park, Off, Thane - Belapur Rd, TTC Industrial Area, Airoli, Navi Mumbai, Maharashtra 400708",Software company,Maharashtra,Navi Mumbai,400708,https://www.capgemini.com/
Toll plaza Chamanganj,,,,Toll Management System companies in India,,,"MX7V+89, Paliya Mu Kuchera, Uttar Pradesh 224127",Toll booth,Uttar Pradesh,Paliya Mu Kuchera,224127,https://tis.nhai.gov.in/
ElegantJ BI,,,7930009991,Toll Management System companies in India,,,"A- 305, Shapath IV, Opposite Karnavati Club, Sarkhej - Gandhinagar Hwy, Prahlad Nagar, Ahmedabad, Gujarat 380051",Software company,Gujarat,Ahmedabad,380051,https://www.elegantjbi.com/
HiTech BillSoft,,,6262989804,Toll Management System companies in India,,,"Block # 103, 1st floor, Balaji Sanyog Apartment, Besa Rd, opp. Petrol Pump, Besa, Nagpur, Maharashtra 440037",Software company,Maharashtra,Nagpur,440037,http://www.billingsoftwareindia.in/
Msc Agency India Pvt Limted,,,2266378000,Toll Management System companies in India,,,"4V77+7VG, M. S. C House, Andheri Kurla Road, Andheri East, J. B Nagar, Mumbai, Maharashtra 400059",Freight forwarding service,Maharashtra,Mumbai,400059,https://www.msc.com/ind
Tata Consultancy Services Limited,,,,Toll Management System companies in India,,,"Maan, Sahyadri Park, Plot No. 2 & 3, Phase 3, Rajiv Gandhi Infotech Park, Maan, Hinjawadi, Pune, Maharashtra 411057",Software company,Maharashtra,Pimpri-Chinchwad,411057,http://www.tcs.com/
Prama Hikvision India Private Limited,,,2228469900,Toll Management System companies in India,,,"18th, Oberoi Mall General AK Vidya Marg, Oberoi Commerz 2, International Business Park, Off, Western Express Hwy, Goregaon, Mumbai, Maharashtra 400063",Security system supplier,Maharashtra,Mumbai,400063,
"Essae Digitronics Pvt Ltd (Weighbridge, Weighing Automation & Weighing System & Solution)",,,,Toll Management System companies in India,,,"Plot No. 34, Ambazari Layout, Hingna Rd, nr. Ghate Restaurant, Nagpur, Maharashtra 440033",Weigh station,Maharashtra,Nagpur,440033,http://www.essaedig.com/
Schindler India Pvt Ltd - Head Office,,,2261314444,Toll Management System companies in India,,,"Schindler House, Main St, Hiranandani Gardens, Sainath Nagar, Powai, Mumbai, Maharashtra 400076",Elevator manufacturer,Maharashtra,Mumbai,400076,http://www.schindler.com/in/internet/en/home.html
John Deere India Pvt Ltd,,,,Toll Management System companies in India,,,"Tower 15, 2nd, Cybercity, Magarpatta, Hadapsar, Pune, Maharashtra 411013",Agricultural machinery manufacturer,,,411013,https://www.deere.co.in/en/index.html
Sanofi India & Sanofi Healthcare Pvt Ltd,,,2228032000,Toll Management System companies in India,,,"CTS No.117-B L & T Business Park, Saki Vihar Rd, Powai, Mumbai, Maharashtra 400072",Corporate office,,,400072,http://www.sanofi.in/
BNP Paribas India Solutions Pvt. Ltd.,,,2267831000,Toll Management System companies in India,,,"Infinity, Building No.4, 601, Off Film City Road, Malad, Raheja Housing and Commercial Complex, Malad East, Mumbai, Maharashtra 400097",Corporate office,,,400097,http://www.bnpparibas.co.in/en/contact-us/bnp-paribas-india-solutions/
Pidilite Industries Limited - Corporate Office,,,2228357000,Toll Management System companies in India,,,"4V89+5V8, Ramkrishna Mandir Road, Off Sir Mathuradas Vasanji Road, Andheri, Andheri East, Mumbai, Maharashtra 400059",Corporate office,,,400059,http://www.pidilite.com/
Woodworking Tools & Machines - Yash Tooling System,,,8000630880,Toll Management System companies in India,,,"plot no, 462, Rd Number 12, Kathwada GIDC, Odhav Industrial Estate, Odhav, Ahmedabad, Gujarat 382430",Tool manufacturer in Gujarat,,,382430,https://www.yashtooling.in/
Atlas Copco India Ltd,,,1.80012E+12,Toll Management System companies in India,,,"Svea Nagar, Old Mumbai Rd, Dapodi, Pune, Maharashtra 411012",Air compressor supplier,Maharashtra,Pimpri-Chinchwad,411012,https://www.atlascopco.com/en-in/compressors
Sterling & Wilson Pvt. Ltd.,,,2225485300,Toll Management System companies in India,,,"Universal majestic, PL Lokhande Marg, Chembur West, ACC Nagar, Chedda Nagar, Mumbai, Maharashtra 400043",Corporate office,,,400043,http://www.sterlingandwilson.com/
KSB LTD,,,2027101000,Toll Management System companies in India,,,"Old Mumbai - Pune Hwy, MIDC, Pimpri Colony, Pune, Maharashtra 411018",Pump supplier,Maharashtra,Pimpri-Chinchwad,411018,https://www.ksb.com/en-in/contact#!/l/pune/old-mumbai-pune-highway/3183860
JSW Steel Dolvi Works,,,2143277505,Toll Management System companies in India,,,"M2WM+VPR, Dharamtar, Taluka Pen, Dolvi, Maharashtra 402107",Steelwork manufacturer in Maharashtra,,,402107,http://www.jsw.in/
Suburban Diagnostics Corporate Office,,,2261700000,Toll Management System companies in India,,,"2nd Floor, Sunshine Building, Sundervan Complex Rd, opp. Mercedes Showroom, Shastri Nagar, Andheri West, Mumbai, Maharashtra 400053",Corporate office,,,400053,https://www.suburbandiagnostics.com/
Bharat Electronics Limited,,,,Toll Management System companies in India,,,"Pashan Rd, Bavdhan, Pune, Maharashtra 411021",Bus stop,Maharashtra,Pune,411021,
Eureka Forbes Ltd,,,,Toll Management System companies in India,,,"Shop No. 7, Welfare Chamber, Sector 17, Mumbai, Maharashtra 400705",Water purification company,Maharashtra,Navi Mumbai,400705,https://www.eurekaforbes.com/
