company_name,client_name,email,mobile,source,remark,designation,address,category,state,city,pincode,website
WhiteLines Technologies,,,8939922388,Building automation companies,,,"No 106, First Floor, WhiteLines Technologies, Finswell, Sakore Nagar, Viman Nagar, Pune, Maharashtra 411014",Automation company,Maharashtra,Pune,411014,https://whitelinestechnologies.in/
Messung Smart,,,,Building automation companies,,,"Sky Vista, Lunkad Realty, 501, Viman Nagar, Pune, Maharashtra 411014",Home automation company,Maharashtra,Pune,411014,https://www.messungsmart.com/
Krushnai Building,,,9823430270,Building automation companies,,,"HQ9V+6RH, Rajput Dhanashree Road, Vinayak Nagar, Pimple Nilakh, Pimpri-Chinchwad, Maharashtra 411027",Home automation company,Maharashtra,Pimpri-Chinchwad,411027,
HomeOne Technologies |Smart Sensor | Gas Leak Sensor | Motion Sensor | Touch Switch | Video Door Bell | Smart Home,,,7767984645,Building automation companies,,,"Office 310, Finswell, next to Bajaj Finserv, Viman Nagar, Pune, Maharashtra 411014",Manufacturer,Maharashtra,Pune,411014,http://www.homeonetechnologies.com/
Valstem Automation Private Limited,,,9373898707,Building automation companies,,,"Mega Center, Magarpatta, North Hadapsar, Hadapsar, Pune, Maharashtra 411022",Automation company,Maharashtra,Pune,411022,
mahajan automation,,,7350190505,Building automation companies,,,"Gat No. 441, S.No. 474/1 Lawasa road, Near primary school, Mukaiwadi, Tal.Mulshi Poud Rd, Pirangut, Maharashtra 412115",Automation company in Maharashtra,,,412115,https://www.mahajanautomation.com/
GIC Theben Automation Pvt Ltd,,,2046232323,Building automation companies,,,"Naylor road no.1 Suyog platinum tower, Regus, office 805, Maharashtra 411001",Home automation company,Maharashtra,Pune,411001,http://gictheben.in/
Cognito Solutions | Home Automation Company | CCTV Camera Installation Service in Pune,,,8329175080,Building automation companies,,,"Nilgiri Height, B-5, Senapati Bapat Rd, Shivaji Co operative Housing Society, Pune, Maharashtra 411016",Home automation company,Maharashtra,Pune,411016,http://www.cognitosolutions.in/
Harsh Automation & Controls,,,9923287761,Building automation companies,,,"B-52, Somdas Colony, Rahatani, Pimpri-Chinchwad, Maharashtra 411017",County government office,Maharashtra,Pimpri-Chinchwad,411017,http://www.harshautomation.com/
Nirmal Automation Pvt. Ltd.,,,8087071490,Building automation companies,,,"Paud Rd, Lokmanya Colony, Kothrud, Pune, Maharashtra 411038",Automation company,Maharashtra,Pune,411038,http://www.nirmalautomation.com/
Xenopus Automation Pvt Ltd [India],,,,Building automation companies,,,"Nagar Road, Wagholi Rd, Pune, Maharashtra 411014",Automation company,Maharashtra,Pune,411014,http://www.xenopus.co.in/
Byte Home Automation,,,,Building automation companies,,,"201 & 202 , 1958 Swami Krupa Apartments , Tilak, Maharashtra 411030",Home automation company,Maharashtra,Pune,411030,https://bytehomeautomation.business.site/?utm_source=gmb&utm_medium=referral
Hi Tech Automation,,,,Building automation companies,,,"127-A6 Raj Tower Santosh Nagar Katraj, Katraj, Pune, Maharashtra 411046",Automation company,Maharashtra,Pune,411046,http://www.hitechautomation.co.in/
Beckhoff Automation,,,2067154800,Building automation companies,,,"Nagar Road Reality Warehousing, Building No. 5, Gat No. 1337, 1, Pune, Maharashtra 412207",Automation company,Maharashtra,Pune,412207,https://www.beckhoff.com/hi-in/support/our-service-offerings/
Pongo Technologies Pvt Ltd,,,,Building automation companies,,,"1482, 5th Floor, White House Building, Lokmanya Bal Gangadhar Tilak Rd, opp. Tilak Smarak Mandir, Sadashiv Peth, Pune, Maharashtra 411030",Home automation company,Maharashtra,Pune,411030,https://pongohome.com/
Aimone Automation Systems Pvt. Ltd.,,,2067194900,Building automation companies,,,"No.03, Sahyog Colony, Tapkir Nagar, Moshi, Pune, Maharashtra 412105",Automation company,Maharashtra,Pimpri-Chinchwad,412105,http://www.aimone.in/
VRL Automation Engineering & Projects Private Limited,,,099229 25081,Building automation companies,,,"Office No. 501, Kothrud, Pune, Maharashtra 411029",Industrial consultant,Maharashtra,Pune,411029,http://www.vrlautomation.com/
UR AUTOMATION,,,9096675947,Building automation companies,,,"Plot no. L.C. 03, off, Spine Rd, Moshi Pradhikaran, Sector No. 11, Moshi, Pimpri-Chinchwad, Maharashtra 411018",Automation company,Maharashtra,Pimpri-Chinchwad,411018,
Mekonix Systems,,,9673207838,Building automation companies,,,"Pavana Industrial Estate, Unit B-18, Plot T204, MIDC, Maharashtra 411026",Automation company,Maharashtra,Pimpri-Chinchwad,411026,http://www.mekonix.com/
"The World of Automation - HVAC, Industrial Automation,PLC,SCADA, Software Testing,Training Institute in Pimpri Chinchwad Pune",,,9075102234,Building automation companies,,,"Manik Raj Park, Office No:4, 2nd Floor, PCMC Link Rd, opposite Elpro City Square Mall, Chinchwad, Pune, Maharashtra 411033",Training centre,Maharashtra,Pimpri-Chinchwad,411033,http://www.theworldofautomation.com/
Vidyut Controls And Automation Pvt. Ltd.,,,2025290208,Building automation companies,,,"Sahara, 82/2, Old N D A Road, Shivane, Pune, Maharashtra 411023",Manufacturer,Maharashtra,Pune,411023,http://www.vidyutcontrols.com/
Global Automation & Security,,,8856924651,Building automation companies,,,"314 Deveshree Heights Phase 2. Flat no.5, Maharashtra 411013",Home automation company,Maharashtra,Pune,411013,
"BuildTrack - Automation For Home, Hotels, Hospitals, Warehouse in Mumbai, India",,,18002121277,Building automation companies,,,"Belapur Railway Station Complex, Tower 10, First Floor, CBD Surmount Energy Solutions Pvt. Ltd, Sakal Bhavan Rd, Sector 11, CBD Belapur, Navi Mumbai, Maharashtra 400614",Electronics company,Maharashtra,Navi Mumbai,400614,https://www.buildtrack.in/
Inteltek Automation Pvt Ltd,,,2024318116,Building automation companies,,,"100/5, Mumbai Bypass, Ambegaon, Near Shiv Gauraksha Ashram, Pune, Maharashtra 411046",Corporate office,,,411046,http://www.inteltekindia.com/
Affordable Robotic & Automation Pvt Ltd,,,7720018944,Building automation companies,,,"Gate No, 1209, Kakasaheb Wadake Rd, near Hotel Vijay Executive, Wadakinala, Wadki, Maharashtra 412308",Automation company,Maharashtra,Wadki,412308,http://www.arapl.co.in/
Pretech Automation Pvt. Ltd.,,,2024267956,Building automation companies,,,"Plot No: 78 & 79, Tiny Industrial Co.Op.Estate Ltd, S.No:31, Pisoli Rd, Kondhwa, Pune, Maharashtra 411048",Manufacturer,Maharashtra,Pune,411048,http://www.pretech.in/
Asia Automation Private Limited,,,2025420543,Building automation companies,,,"22, Pragati Complex, Kothrud Industrial Area, Pune, Maharashtra 411029",Manufacturer,Maharashtra,Pune,411029,http://www.asiaautomation.com/
G2 CONTROLS,,,8796204005,Building automation companies,,,"A22, Yashwant Pride Society, near Keshav Nagar, Kasarwadi, Pune, Maharashtra 411034",Automation company,Maharashtra,Pimpri-Chinchwad,411034,https://g2controls.business.site/?utm_source=gmb&utm_medium=referral
Fox Solutions,,,,Building automation companies,,,"GR3J+5JQ, vimal-laxmi building, opp. dinanath mangeshkar hospital, Erandwane, Pune, Maharashtra 411004",Automation company,Maharashtra,Pune,411004,
StarrBot Sensor,,,8329415737,Building automation companies,,,"Clover Metropole, Office No.1, 4th Floor Above Dorabjee, next to Clover Highlands, NIBM Undri Road, Kondhwa, Pune, Maharashtra 411048",Automation company,Maharashtra,Pune,411048,https://starrbotsensor.com/
Smart Living - Experience Studio,,,,Building automation companies,,,"Landmark - Trikaya Restaurant, Office no 39, Aditya Shagun Mall, Pune, Maharashtra 411021",Home automation company,Maharashtra,Pune,411021,http://smartliving.net.in/
Grandiose Automation Solutions Private Limited,,,,Building automation companies,,,"Flat no. 201, Navkar Saraswati building, PCMC Link Rd, behind Ambika Supermarket, Pimpi-Chichwad, Shridharnagar, Chinchwad, Pune, Maharashtra 411033",Automation company,Maharashtra,Pimpri-Chinchwad,411033,http://www.grandioseautomation.com/
Total Automation Solutions,,,020 2698 0089,Building automation companies,,,"Building 4a, Office No.3, Sp Infocity, Sez, Phursungi, Pune, Maharashtra 412308",Software company,Maharashtra,Pune,412308,http://www.tasind.com/
DHAVDE BUILDING,,,,Building automation companies,,,"FQMR+HGH, Warje Atul Nagar Rd, AtulNagar Phase I, Atul Nagar, Warje, Pune, Maharashtra 411058",Home automation company,Maharashtra,Pune,411058,
Microficial Intelligence Pvt. Ltd.,,,9767940231,Building automation companies,,,"First Floor, BHAU Institute, beside COEP Boat Club College of Engineering, Shivajinagar, Pune, Maharashtra 411005",Automation company,Maharashtra,Pune,411005,http://microficial.com/
"BuildTrack - Automation For Home, Offices, Hotels, Hospitals, Warehouse in Pune",,,,Building automation companies,,,"Visiontech Energy Solutions, Plot No 8 / 9, Amar Cottege, Sarthak Bunglow,, Shahajiraje Bhosale Nagar, Hadapsar, Pune, Maharashtra 411028",Home automation company,Maharashtra,Pune,411028,https://www.buildtrack.in/
AutoTricks Solutions Pvt.Ltd.,,,9067690808,Building automation companies,,,"Sr. no 36 Office No. 203 Olympia Pune- Mumbai Highway, Near Supreme HQ Building, Baner, Pune, Maharashtra 411045",Home automation company,Maharashtra,Pune,411045,http://autotricks.solutions/
La Quanta Technology,,,9860834893,Building automation companies,,,"Office No. 115, Lotus Arena, Above SBI Bank, near Bollywood Cinema, Wadgaon Sheri, Pune, Maharashtra 411014",Manufacturer,Maharashtra,Pune,411014,http://laquantatechnology.com/
PRECISION ENGINEERS,,,9850822822,Building automation companies,,,"Pawer Building, 766, Ganesh Nagar Rd, Pingale Wasti, Hanuman Nagar, Wadgaon Sheri, Pune, Maharashtra 411014",Home automation company,Maharashtra,Pune,411014,"https://f5mail.rediff.com/prism/maillist?els=31728db12c09e83954cd2328f8e5b616#Inbox@1502184942.S.34459.Z.7336.H.WXJlbnVrYQBIb3cgdG8gcmVhY2ggOiBHcm93IEJ1c2luZXNzIHdpdGggU21hcnQgTkNQcm9ncmFtbWluZyA_.RU.rfs324,rfs324,424,277.f5-224-165"
UL Automation,,,,Building automation companies,,,"Kondhwa Rd, Saibaba Nagar, Kondhwa, Pune, Maharashtra 411048",Electronics company,Maharashtra,Pune,411048,http://www.ulepl.com/
B & R Industrial Automation Pvt. Ltd.,,,,Building automation companies,,,"91a, Old Mumbai - Pune Hwy, Sphurti Society, Wakadewadi, Shivajinagar, Pune, Maharashtra 411003",Automation company,Maharashtra,Pune,411003,https://www.br-automation.com/en-in/
INTACT Automation Private Limited,,,2067441111,Building automation companies,,,"Shiv Shankar House, S. No.43 Near Xrbia, Hinjewadi Somatane Road, Mulshi, Nere, Pune, Maharashtra 411033",Manufacturer,Maharashtra,Nerhe,411033,http://www.intactautomation.com/
Devesha Infotech,,,9822298230,Building automation companies,,,"Vijay nagar Society, S.No 4, Building 2B, near Dhayreshwar Temple, Dhayari, Pune, Maharashtra 411041",Security system supplier in Maharashtra,,,411041,http://www.deveshainfotech.com/
Matrix Solutions,,,9822114539,Building automation companies,,,"45, Hanuman Colony, Vishal Residency Building, Old Mumbai - Pune Hwy, Kundan Nagar, Laxman Krupa Housing Society, Kasarwadi, Pune, Maharashtra 411034",Automation company,Maharashtra,Pimpri-Chinchwad,411034,http://www.matrixsolutions.co.in/
Innovative Centre For Automation People,,,9673544944,Building automation companies,,,"ShriRam Bungalow, Opp. Pushpa Park Building,, Behind R K Painter Lane, Sai Chowk, New Sangvi,, Pune, Maharashtra 411061",Training centre,Maharashtra,Pimpri-Chinchwad,411061,http://innovative-centre-for-automation-people.business.site/
YASH AUTOMATION,,,,Building automation companies,,,"Sr. No. 14, Dhadge industrial Estate, Nanded Fata, Pune, Maharashtra 411041",Automation company,Maharashtra,Pune,411041,http://www.yashautomation.com/
VENUS INFOTECH,,,9371033388,Building automation companies,,,"USHA MOTI APTS, Maharshi Nagar Rd, near CRESENT HIGH SCHOOL, Gultekadi, Pune, Maharashtra 411037",Security system supplier,Maharashtra,Pune,411037,https://venus-infotech-pune.business.site/?utm_source=gmb&utm_medium=referral
Yantra Automation Pvt Ltd,,,,Building automation companies,,,"No 40, Dr Baba Saheb Ambedkar Rd, Sangamvadi, Pune, Maharashtra 411001",Automation company,Maharashtra,Pune,411001,
LEELAVATI AUTOMATION PVT. LTD,,,9702881944,Building automation companies,,,"21 C, Gr Floor, Saraswati Niwas, Kurla Kamgar Nagar, SG Barve Marg, near Nandikeshwar Mandir, Kurla, E), Mumbai, Maharashtra 400024",Automation company,Maharashtra,Mumbai,400024,http://leelavatiautomation.com/
Edifice Automation Pvt. Ltd,,,9960588910,Building automation companies,,,"6, Sunaya Homes, Kondhwa Rd, Market Yard, Kondhwa Budruk, Pune, Maharashtra 411048",Automation company,Maharashtra,Pune,411048,http://edificeautomation.com/
Messung Industrial Automation & Controls,,,2066492800,Building automation companies,,,"Sky Vista, Lunkad Realty, 501, 502, 503, Viman Nagar, Pune, Maharashtra 411014",Automation company,Maharashtra,Pune,411014,https://www.messungautomation.co.in/
Siemens india Ltd. /Automation /software,,,,Building automation companies,,,"Shailajsmurti apartment, ८९५६३८८९८२,prabhat road, 39, Lane No. 9, Erandwane, Pune, Maharashtra 411004",Automation company,Maharashtra,Pune,411004,
V Ramp Automation,,,9960685077,Building automation companies,,,"Gate no 188, near Pandurang hotel, Jyotiba Nagar, Talwade, Pimpri-Chinchwad, Maharashtra 412114",Model design company,Maharashtra,Pimpri-Chinchwad,412114,http://vrampautomation.com/
Kokban Automation Private Limited,,,2041200707,Building automation companies,,,"P1, Magarpatta, Hadapsar, Pune, Maharashtra 411028",Corporate office,,,411028,http://www.kokban.co.in/
Shyam Global Technoventures Pvt Ltd.,,,,Building automation companies,,,"3rd Floor Shubhas Lodha Building 417, 18/19, 2nd Ln, Market Yard, Pune, Maharashtra 411037",Manufacturer,Maharashtra,Pune,411037,http://www.shyamtechno.com/
Logica Automations And Controls,,,9049312100,Building automation companies,,,"A-5, Sai ganesh vihar, Ambegaon (Dhabadi, Wadgaon Bk, Pune, Maharashtra 411011",Automation company,Maharashtra,Pune,411011,
IPerfect.Net,,,,Building automation companies,,,"H building, Flat no. 808, Asawari Society, Nanded City Sinhgad Rd, Pune, Maharashtra 411041",Home automation company in Maharashtra,,,411041,
Messung Systems Pvt. Ltd.,,,2066492800,Building automation companies,,,"Lunkad Realty, 501, 502, 503 Sky Vista, Viman Nagar, Pune, Maharashtra 411014",Corporate office,,,411014,http://www.messung.com/
L B P Creations,,,2024319051,Building automation companies,,,"Raj Towers, Survey No 120/2 Plot No 11 Malatiram Building, Main Road, Katraj Behind, Santosh Nagar, Pune, Maharashtra 411046",Home automation company,Maharashtra,Pune,411046,
Avon Building Solutions Pvt. Ltd.,,,206829501,Building automation companies,,,"38/2, Ramtekdi Industrial Area, Hadapsar, Pune, Maharashtra 411013",Security system installer,Maharashtra,Pune,411013,http://www.avonsystems.com/
Brickvision Equipment,,,8446646655,Building automation companies,,,"Flat No 6, 2nd Floor Ghodandikar Tower, near Krishna Tower, Bhumkar Nagar, Chowk, Narhe, Pune, Maharashtra 411041",Machining manufacturer,Maharashtra,Pune,411041,http://www.brickvisionequipment.com/
Evio Pvt LTD,,,2245766700,Building automation companies,,,"F-14, Andheri - Kurla Rd, Nandjyot Industrial estate, Saki Naka, Mumbai, Maharashtra 400072",Automation company,Maharashtra,Mumbai,400072,http://evio.in/
Vector Automation,,,,Building automation companies,,,"C-115, Ground Floor, Mega Center, North Hadapsar, Hadapsar, Pune, Maharashtra 411028",Automation company,Maharashtra,Pune,411028,http://vectorautomation.co.in/
SAITEK AUTOMATION,,,7875119196,Building automation companies,,,"B-13/7, Vishrant Society, Vishrantwadi, Pune, Maharashtra 411015",Automation company,Maharashtra,Pune,411015,http://saitekautomation.com/
Vasu Building And Home Automation,,,2025282462,Building automation companies,,,"Shop No:13, Bandal Capital, Paud Rd, Bharti Nagar, Kothrud, Pune, Maharashtra 411038",Fire protection system supplier,Maharashtra,Pune,411038,
RNA Automations Pvt. Ltd.,,,2024484225,Building automation companies,,,"10, Budhwar Peth, 301R, 3rd Floor, ”SHREE MAA” Apartments, Pune, Maharashtra 411002",Machining manufacturer,Maharashtra,Pune,411002,
Urjatantra Automation,,,8048764440,Building automation companies,,,"MAULI',Survey No.35/24,Behind Abhinav College Dangat Stone crusher Road, Dhayari, Pune, Maharashtra 411041",Automation company in Maharashtra,,,411041,https://www.urjatantra.in/
Praj Electro Tech Solutions,,,9822777542,Building automation companies,,,"O-304 Shreeniwas, Greenland County, Narhe, Pune, Maharashtra 411041",Home automation company,Maharashtra,Pune,411041,http://prajets.com/
Patil Automation Pvt Ltd,,,9168338383,Building automation companies,,,"Gat No. 154, Behind GE company, Chakan Wasuli, Phase II, MIDC, Wasuli, Maharashtra 412109",Industrial equipment supplier,Maharashtra,Wasuli,412109,http://patilautomation.com/
