company_name,client_name,email,mobile,source,remark,designation,address,category,state,city,pincode,website
BigWit Energy Pvt Ltd,,,,renewable energy power plant ( GOOGLE),,,"JRX2+7GJ, MIDC, Chinchwad, Pimpri-Chinchwad, Maharashtra 411019",Solar energy company,Maharashtra,Pimpri-Chinchwad,411019,http://www.bigwitenergy.com/
Energy Mix India,,,,renewable energy power plant ( GOOGLE),,,"301,Rajlaxmi Apartment , TMV Colony ,Near Bank of Maharashtra, ,Gultekadi, Pune, Maharashtra 411037",Solar energy company,Maharashtra,Pune,411037,https://energymixindia.business.site/
Solaire Direct India | Solar PV Plant Developer,,,,renewable energy power plant ( GOOGLE),,,"pentagon P3, Magarpatta, Hadapsar, Pune, Maharashtra 411013",Solar photovoltaic power plant,Maharashtra,Pune,411013,
PowerSun India Pvt. Ltd.,,,2066484848,renewable energy power plant ( GOOGLE),,,"Aurum Avenue, Level 5, Baner - Balewadi Rd, Baner, Pune, Maharashtra 411045",Corporate office,,,411045,http://www.powersun.in/
Aryan Green Energy India Pvt. Ltd,,,9545520019,renewable energy power plant ( GOOGLE),,,"F-37 Basaweshwara Industrial Complex, near Vishweshwar Chowk, MIDC, Bhosari, Pune, Maharashtra 411026",Power plant consultant,Maharashtra,Pimpri-Chinchwad,411026,
GeWiS Renewpower - Solar EPC Company,,,2067122400,renewable energy power plant ( GOOGLE),,,"705-707, Nyati Emporius, Baner, Pune, Maharashtra 411045",Solar energy company,Maharashtra,Pune,411045,http://www.gewisrenew.com/
Kaivlya renewable energy solution pvt ltd,,,,renewable energy power plant ( GOOGLE),,,"Sairaj Colony, Sector No. 31, Akurdi, Pune, Maharashtra 411017",Solar photovoltaic power plant,Maharashtra,Pimpri-Chinchwad,411017,
ZTRIC India Pvt. Ltd,,,18001209232,renewable energy power plant ( GOOGLE),,,"501, Crystal Homes, Baner Rd, Sahyadri Farms, Pune, Maharashtra 411045",Solar energy company,Maharashtra,Pune,411045,http://www.ztric.com/
ReNew Power Limited,,,,renewable energy power plant ( GOOGLE),,,"304, 3rd Floor, Town Square, Shopping Centre, New Airport Rd, Mhada Colony, Viman Nagar, Pune, Maharashtra 411014",Solar energy company,Maharashtra,Pune,411014,https://renewpower.in/
All About Renewables,,,2026613855,renewable energy power plant ( GOOGLE),,,"Plot No.44, Hindustan Estates, Kalyani Nagar, Pune, Maharashtra 411006",Environment renewable natural resources,Maharashtra,Pune,411006,http://allaboutrenewables.com/
Nespro Renewable Energy Solutions,,,8956842113,renewable energy power plant ( GOOGLE),,,"S.N. 28, Plot No. 36, Balkrishna Society, H-232 Dhanakawadi, near Akshay Chintamani Ganesh Mandir, Pune, Maharashtra 411043",Industrial consultant,Maharashtra,Pune,411043,http://www.nespro.in/
SUNSEED POWER SOLUTION,,,7066138289,renewable energy power plant ( GOOGLE),,,"Surya Tower, 4th, Near, Mhatre Bridge, opp. TRENDS, Erandwane, Pune, Maharashtra 411004",Solar energy equipment supplier,Maharashtra,Pune,411004,http://sunseedpower.com/
RelyOn Solar Pvt. Ltd,,,2022953812,renewable energy power plant ( GOOGLE),,,"RelyOn Solar Pvt Ltd Shivana,2nd floor, above Royal Enfield Showroom - Siddh Auto, Kothrud, Pune, Maharashtra 411038",Solar energy company,Maharashtra,Pune,411038,http://www.relyonsolar.com/
AVIRO Energy India Pvt Ltd,,,9096656846,renewable energy power plant ( GOOGLE),,,"Sai Saroj Apartment, Pipeline Rd, Pune, Maharashtra 412101",Solar energy company,Maharashtra,Pimpri-Chinchwad,412101,http://www.aviroservices.com/
CaptureSolar Energy Limited,,,2060500504,renewable energy power plant ( GOOGLE),,,"S.No 114 & 115 /11/15 Flat No 4 & 5 2nd Floor Shubham Heights Next Idbi Bank Mumbai, Pune Banglore Highway Pashan Exit, Warje, Pune, Maharashtra 411058",Solar energy company,Maharashtra,Pune,411058,http://www.capturesolar.com/
World Institute of Sustainable Energy,,,2026613855,renewable energy power plant ( GOOGLE),,,"Plot No.44, Hindustan Estates, Road Number 2, Kalyani Nagar, Pune, Maharashtra 411006",Research institute,Maharashtra,Pune,411006,http://www.wisein.org/
Enrich Energy Pvt Ltd,,,2026050080,renewable energy power plant ( GOOGLE),,,"Koregaon Park, 302, The Orion Building, 11/1C, Main Road, Opp Don Bosco Youth Centre, Main Rd, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001",Solar energy company,Maharashtra,Pune,411001,http://www.enrichenergy.com/
Malaviya Solar Energy Consultancy,,,2026166162,renewable energy power plant ( GOOGLE),,,"T-301, Ashoka Mall, Bund Garden Rd, Pune, Maharashtra 411001",Consultant,Maharashtra,Pune,411001,http://www.malaviya.in/
SaurUrja Energy Systems Private Limited,,,,renewable energy power plant ( GOOGLE),,,"Saileeen' Building 3rd Floor, Karve Road, Main Road, Bhalekar Chawl, Erandwane, Pune, Maharashtra 411004",Solar energy company,Maharashtra,Pune,411004,
Fairdeal Greentech India Pvt Ltd,,,8600999996,renewable energy power plant ( GOOGLE),,,"Sharawati Society, Plot No. 4-B, Sr. No. 126/1A/2PL, next to Akshay Food Mart, near Shreeram Society, Warje, Pune, Maharashtra 411058",Solar energy company,Maharashtra,Pune,411058,
Shams Power Systems Pvt Ltd,,,8033769207,renewable energy power plant ( GOOGLE),,,"Office No. 3, Shantikunj Society, behind Kedari Garden, Wanowrie, Pune, Maharashtra 411040",Solar energy contractor,Maharashtra,Pune,411040,
RAD RENEWABLES,,,9172587537,renewable energy power plant ( GOOGLE),,,"Bhosale Plaza, A5, Pune - Solapur Rd, near Old Mohintara Hospital, Hadapsar, Pune, Maharashtra 411028",Solar energy company,Maharashtra,Pune,411028,
DEITY FUEL ENERGY PVT LTD.,,,2024530022,renewable energy power plant ( GOOGLE),,,"plot no 47-48, MAHALUNGE CHAKAN Industrial Estate,, Pandurang Industrial Area, Pune",Solar energy company,Maharashtra,Mahalunge,48,http://www.deityfuel.com/
Powercon Ventures India Pvt. Ltd.,,,2066484866,renewable energy power plant ( GOOGLE),,,"Level 5, AURUM AVENUE, New Balewadi Link Road,, Baner Gaon, Baner, Pune, Maharashtra 411045",Electric utility company,Maharashtra,Pune,411045,http://www.powercon.in/
Sparkel Power And Automation Solutions (Sparkel India),,,9168012136,renewable energy power plant ( GOOGLE),,,"S.No.7/3 Plot No.16 Anusaya Park, Pune, Maharashtra 411014",Solar energy company,Maharashtra,Pune,411014,http://www.sparkelindia.com/
Solar Power Plant,,,,renewable energy power plant ( GOOGLE),,,"HR49+5G8, Pune University, Ganeshkhind, Pune, Maharashtra 411007",Solar photovoltaic power plant,Maharashtra,Pune,411007,
